Tip (PT),Tip (ET),Tip short,Tip dt (PT),Tip dt (ET),Tip dt (UTC),Local date,Day,Matchup,Away team,Home team,Away logo,Home logo,Home spread,|spread|,Home spread effective,|spread effective|,Home spread close,Minutes remaining,a_close(t),a_live(t),Record (away),Record (home),Spread source,Spread mode,Win% (away raw),Win% (home raw),Adj win% (away),Adj win% (home),Adj win% (away) pre-star,Adj win% (home) pre-star,Avg adj win% pre-star,Avg adj win% post-star,Health (away),Health (home),Star factor (away),Star factor (home),Away Star Player,Home Star Player,Away Star Raw,Home Star Raw,Team quality pre-star,Team Quality bump (away),Team Quality bump (home),Away Star Factor,Home Star Factor,Away Key Injuries,Home Key Injuries,Away injuries detail JSON,Home injuries detail JSON,Team quality,Team Quality,Closeness,Competitiveness,Uavg,aWI,Region,Status,Is live,ESPN game id,Away score,Home score,Time remaining,Tip display,Where to watch URL,Where to watch provider,Forecast
Fri 05:30 PM,Fri 08:30 PM,Fri 5PM,2026-05-22 17:30:00-07:00,2026-05-22 20:30:00-04:00,2026-05-23 00:30:00+00:00,2026-05-22,Friday,Oklahoma City Thunder @ San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,https://a.espncdn.com/i/teamlogos/nba/500/OKC.png,https://a.espncdn.com/i/teamlogos/nba/500/SAS.png,-2.0,2.0,-2.0,2.0,,,0.0,1.0,64-18,62-20,median_across_books,odds,0.7804878,0.75609756,0.738048776,0.7156097552,0.7180487759999999,0.6956097552,0.7068292655999999,0.7268292655999999,0.92,0.92,0.02,0.02,,,0.0,0.0,1.0,2.0,2.0,,,,,[],[],1.0,1.0,0.9063956551818755,0.9063956551818755,0.9694424067012776,96.94424067012775,Must Watch,pre,False,401873199,0,0,,Fri 5PM PT,,Peacock,True
Sat 05:00 PM,Sat 08:00 PM,Sat 5PM,2026-05-23 17:00:00-07:00,2026-05-23 20:00:00-04:00,2026-05-24 00:00:00+00:00,2026-05-23,Saturday,New York Knicks @ Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,https://a.espncdn.com/i/teamlogos/nba/500/NYK.png,https://a.espncdn.com/i/teamlogos/nba/500/CLE.png,-2.5,2.5,-2.5,2.5,,,0.0,1.0,53-29,52-30,median_across_books,odds,0.64634144,0.63414633,0.6146341248000001,0.6034146236,0.5946341248000001,0.5834146236,0.5890243742000001,0.6090243742000001,0.92,0.92,0.02,0.02,,,0.0,0.0,0.7780487484000003,2.0,2.0,,,,,[],[],0.8180487484000003,0.8180487484000003,0.8749592154663484,0.8749592154663484,0.8341354911364662,83.41354911364662,Strong Watch,pre,False,401873343,0,0,,Sat 5PM PT,,ESPN,True
Sun 05:00 PM,Sun 08:00 PM,Sun 5PM,2026-05-24 17:00:00-07:00,2026-05-24 20:00:00-04:00,2026-05-25 00:00:00+00:00,2026-05-24,Sunday,Oklahoma City Thunder @ San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,https://a.espncdn.com/i/teamlogos/nba/500/OKC.png,https://a.espncdn.com/i/teamlogos/nba/500/SAS.png,-1.2682927999999998,1.2682927999999998,-1.2682927999999998,1.2682927999999998,,,0.0,1.0,64-18,62-20,forecast_model,forecast,0.7804878,0.75609756,0.738048776,0.7156097552,0.7180487759999999,0.6956097552,0.7068292655999999,0.7268292655999999,0.92,0.92,0.02,0.02,,,0.0,0.0,1.0,2.0,2.0,,,,,[],[],1.0,1.0,0.9521839987529147,0.9521839987529147,0.9850322802295471,98.50322802295472,Must Watch,pre,False,401873200,0,0,,Sun 5PM PT,,Peacock,True
Mon 05:00 PM,Mon 08:00 PM,Mon 5PM,2026-05-25 17:00:00-07:00,2026-05-25 20:00:00-04:00,2026-05-26 00:00:00+00:00,2026-05-25,Monday,New York Knicks @ Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,https://a.espncdn.com/i/teamlogos/nba/500/NYK.png,https://a.espncdn.com/i/teamlogos/nba/500/CLE.png,-1.634146699999998,1.634146699999998,-1.634146699999998,1.634146699999998,,,0.0,1.0,53-29,52-30,forecast_model,forecast,0.64634144,0.63414633,0.6146341248000001,0.6034146236,0.5946341248000001,0.5834146236,0.5890243742000001,0.6090243742000001,0.92,0.92,0.02,0.02,,,0.0,0.0,0.7780487484000003,2.0,2.0,,,,,[],[],0.8180487484000003,0.8180487484000003,0.9293211455438944,0.9293211455438944,0.8478359719141523,84.78359719141523,Strong Watch,pre,False,401873344,0,0,,Mon 5PM PT,,ESPN,True
Tue 05:30 PM,Tue 08:30 PM,Tue 5PM,2026-05-26 17:30:00-07:00,2026-05-26 20:30:00-04:00,2026-05-27 00:30:00+00:00,2026-05-26,Tuesday,San Antonio Spurs @ Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,https://a.espncdn.com/i/teamlogos/nba/500/SAS.png,https://a.espncdn.com/i/teamlogos/nba/500/OKC.png,-2.7317072000000002,2.7317072000000002,-2.7317072000000002,2.7317072000000002,,,0.0,1.0,62-20,64-18,forecast_model,forecast,0.75609756,0.7804878,0.7156097552,0.738048776,0.6956097552,0.7180487759999999,0.7068292655999999,0.7268292655999999,0.92,0.92,0.02,0.02,,,0.0,0.0,1.0,2.0,2.0,,,,,[],[],1.0,1.0,0.8603487206118501,0.8603487206118501,0.9523795782613579,95.23795782613578,Must Watch,pre,False,401873201,0,0,,Tue 5PM PT,,Peacock,True
Wed 05:00 PM,Wed 08:00 PM,Wed 5PM,2026-05-27 17:00:00-07:00,2026-05-27 20:00:00-04:00,2026-05-28 00:00:00+00:00,2026-05-27,Wednesday,Cleveland Cavaliers @ New York Knicks,Cleveland Cavaliers,New York Knicks,https://a.espncdn.com/i/teamlogos/nba/500/CLE.png,https://a.espncdn.com/i/teamlogos/nba/500/NYK.png,-2.365853300000002,2.365853300000002,-2.365853300000002,2.365853300000002,,,0.0,1.0,52-30,53-29,forecast_model,forecast,0.63414633,0.64634144,0.6034146236,0.6146341248000001,0.5834146236,0.5946341248000001,0.5890243742000001,0.6090243742000001,0.92,0.92,0.02,0.02,,,0.0,0.0,0.7780487484000003,2.0,2.0,,,,,[],[],0.8180487484000003,0.8180487484000003,0.8834055467765012,0.8834055467765012,0.8363646793316443,83.63646793316443,Strong Watch,pre,False,401873345,0,0,,Wed 5PM PT,,ESPN,True
Thu 05:30 PM,Thu 08:30 PM,Thu 5PM,2026-05-28 17:30:00-07:00,2026-05-28 20:30:00-04:00,2026-05-29 00:30:00+00:00,2026-05-28,Thursday,Oklahoma City Thunder @ San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,https://a.espncdn.com/i/teamlogos/nba/500/OKC.png,https://a.espncdn.com/i/teamlogos/nba/500/SAS.png,-1.2682927999999998,1.2682927999999998,-1.2682927999999998,1.2682927999999998,,,0.0,1.0,64-18,62-20,forecast_model,forecast,0.7804878,0.75609756,0.738048776,0.7156097552,0.7180487759999999,0.6956097552,0.7068292655999999,0.7268292655999999,0.92,0.92,0.02,0.02,,,0.0,0.0,1.0,2.0,2.0,,,,,[],[],1.0,1.0,0.9521839987529147,0.9521839987529147,0.9850322802295471,98.50322802295472,Must Watch,pre,False,401873202,0,0,,Thu 5PM PT,,Peacock,True
